State/UT,Straight Road - Number of Accidents - number,Straight Road - Number of Accidents - Rank,Straight Road - Persons Killed - Number,Straight Road - Persons Killed - Rank,Straight Road - Persons Injured - Greviously Injured,Straight Road - Persons Injured - Minor Injury,Straight Road - Persons Injured - Total Injured,Curved Road - Number of Accidents,Curved Road - Persons Killed,Curved Road - Persons Injured - Greviously Injured,Curved Road - Persons Injured - Minor Injury,Curved Road - Persons Injured - Total Injured,Bridge - Number of Accidents,Bridge - Persons Killed,Bridge - Persons Injured - Greviously Injured,Bridge - Persons Injured - Minor Injury,Bridge - Persons Injured - Total Injured,Culvert - Number of Accidents,Culvert - Persons Killed,Culvert - Persons Injured - Greviously Injured,Culvert - Persons Injured - Minor Injury,Culvert - Persons Injured - Total Injured,Pot Holes - Number of Accidents,Pot Holes - Persons Killed,Pot Holes - Persons Injured - Greviously Injured,Pot Holes - Persons Injured - Minor Injury,Pot Holes - Persons Injured - Total Injured,Steep Grade - Number of Accidents,Steep Grade - Persons Killed,Steep Grade - Persons Injured - Greviously Injured,Steep Grade - Persons Injured - Minor Injury,Steep Grade - Persons Injured - Total Injured,Ongoing Road Works/Under Construction - Number of Accidents,Ongoing Road Works/Under Construction - Persons Killed,Ongoing Road Works/Under Construction - Persons Injured - Greviously Injured,Ongoing Road Works/Under Construction - Persons Injured - Minor Injury,Ongoing Road Works/Under Construction - Persons Injured - Total Injured,Others - Number of Accidents,Others - Persons Killed,Others - Persons Injured - Greviously Injured,Others - Persons Injured - Minor Injury,Others - Persons Injured - Total Injured
Chennai,2179,7.0,353,6.0,567,1494,2061,1499,257,271,1269,1540,760,176,222,459,681,872,92,168,756,924,261,51,79,157,236,475,74,203,302,505,399,45,171,269,440,426,204,92,223,315
Delhi,3434,3.0,1001,2.0,496,2595,3091,443,111,64,344,408,256,72,45,187,232,38,4,6,36,42,72,16,15,48,63,13,3,0,13,13,154,39,25,112,137,1200,217,127,1039,1166
Dhanbad,12,50.0,6,50.0,7,4,11,62,39,22,12,34,8,5,2,3,5,7,2,5,3,8,5,3,3,2,5,11,11,0,0,0,18,15,2,2,4,48,46,5,3,8
Faridabad,657,25.0,254,13.0,95,515,610,12,5,4,6,10,14,4,2,8,10,2,0,0,2,2,1,0,0,1,1,0,0,0,0,0,3,1,0,2,2,0,0,0,0,0
Ghaziabad,472,36.0,219,20.0,195,101,296,76,28,35,27,62,27,11,15,9,24,22,4,20,4,24,5,0,3,5,8,22,4,11,15,26,9,0,7,8,15,257,119,104,47,151
Gwalior,1096,19.0,184,22.0,42,785,827,406,41,12,313,325,32,3,1,18,19,83,11,2,56,58,56,0,2,44,46,58,10,1,39,40,181,15,7,134,141,197,28,13,139,152
Hyderabad,2814,4.0,267,12.0,179,2388,2567,80,4,5,72,77,3,0,0,3,3,3,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Indore,2447,5.0,246,15.0,24,2153,2177,549,38,10,468,478,90,10,1,67,68,95,12,2,68,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,202,22,5,193,198
Jabalpur,904,22.0,177,24.0,158,725,883,607,58,88,583,671,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,181,6,29,161,190,1183,118,161,1082,1243,522,47,95,448,543
Jaipur,3846,2.0,1149,1.0,1117,2087,3204,221,56,60,131,191,54,13,10,38,48,2,0,0,1,1,2,0,3,0,3,1,0,1,0,1,10,2,7,5,12,135,63,32,89,121
